text,target,polarity,category,tokens,labels,category_cleaned
Temizlik konusunda takıntınız varsa kesinlikle tercih edilmemesi gereken bir otel Oda temizliği yetersizdi ve hijyen konusunda büyük eksiklikler vardı Hizmet ve alaka sıfır personel pek ilgili değildi ve ihtiyaçlarımıza hızlıca yanıt verilmedi Biz merkezi konumu nedeniyle tercih ettik ama pişman olduk Otel genel olarak standartların oldukça altında kaldı Temizlik ve hizmet açısından beklentilerimiz çok daha yüksekti ve hayal kırıklığına uğradık,"['Oda temizliği', 'hijyen', 'personel', 'merkezi konumu', 'genel olarak', 'Temizlik ve hizmet açısından beklentilerimiz']","['negative', 'negative', 'negative', 'positive', 'negative', 'negative']",accommodation,"['Temizlik', 'konusunda', 'takıntınız', 'varsa', 'kesinlikle', 'tercih', 'edilmemesi', 'gereken', 'bir', 'otel', 'Oda', 'temizliği', 'yetersizdi', 've', 'hijyen', 'konusunda', 'büyük', 'eksiklikler', 'vardı', 'Hizmet', 've', 'alaka', 'sıfır', 'personel', 'pek', 'ilgili', 'değildi', 've', 'ihtiyaçlarımıza', 'hızlıca', 'yanıt', 'verilmedi', 'Biz', 'merkezi', 'konumu', 'nedeniyle', 'tercih', 'ettik', 'ama', 'pişman', 'olduk', 'Otel', 'genel', 'olarak', 'standartların', 'oldukça', 'altında', 'kaldı', 'Temizlik', 've', 'hizmet', 'açısından', 'beklentilerimiz', 'çok', 'daha', 'yüksekti', 've', 'hayal', 'kırıklığına', 'uğradık']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",accommodation
Güzel bir otel değildi Personeller çok ilgisizdi Hiç yardımcı olmadılar,"['otel', 'Personeller']","['negative', 'negative']",daily_life,"['Güzel', 'bir', 'otel', 'değildi', 'Personeller', 'çok', 'ilgisizdi', 'Hiç', 'yardımcı', 'olmadılar']","['O', 'O', 'S', 'O', 'S', 'O', 'O', 'O', 'O', 'O']",experience
Arayüz fena değil ortalama fakat güncellemeler sorunlu Tavsiye etmiyorum,"['Arayüz', 'güncellemeler']","['neutral', 'negative']",product,"['Arayüz', 'fena', 'değil', 'ortalama', 'fakat', 'güncellemeler', 'sorunlu', 'Tavsiye', 'etmiyorum']","['S', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O']",applications
Öncelikle şahin bey ve Ramazan beye cok teşekkür ederim çok ilgiliydiler Temiz sessiz ve huzur aradiginiz herşey aliki bungalov evlerinde konfor bakimindan ve konumu bakimindan cok guzel,"['şahin bey', 'Ramazan', 'aliki bungalov', 'konfor', 'konumu']","['positive', 'positive', 'positive', 'positive', 'positive']",daily_life,"['Öncelikle', 'şahin', 'bey', 've', 'Ramazan', 'beye', 'cok', 'teşekkür', 'ederim', 'çok', 'ilgiliydiler', 'Temiz', 'sessiz', 've', 'huzur', 'aradiginiz', 'herşey', 'aliki', 'bungalov', 'evlerinde', 'konfor', 'bakimindan', 've', 'konumu', 'bakimindan', 'cok', 'guzel']","['O', 'B', 'I', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'S', 'O', 'O', 'S', 'O', 'O', 'O']",experience
Yağmurlu hava bazen gezmeye engel gibi görünse de Üsküdar ve Çengelköy gibi güzel semtleri dolaşmak her koşulda keyifli bir deneyim olabilir Yağmurun da kendine özgü bir havası vardır,"['Yağmurlu hava', 'Üsküdar ve Çengelköy', 'gezmek']","['neutral', 'positive', 'positive']",social_media,"['Yağmurlu', 'hava', 'bazen', 'gezmeye', 'engel', 'gibi', 'görünse', 'de', 'Üsküdar', 've', 'Çengelköy', 'gibi', 'güzel', 'semtleri', 'dolaşmak', 'her', 'koşulda', 'keyifli', 'bir', 'deneyim', 'olabilir', 'Yağmurun', 'da', 'kendine', 'özgü', 'bir', 'havası', 'vardır']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",opinion
Gıdaların çok uzun süre taze kalabilmesi mükemmel Ayrıca iç düzeni çok kullanışlı Koku yapmaması diğer pozitif nokta,"['Gıdaların çok uzun süre taze kalabilmesi', 'iç düzeni', 'Koku yapmaması']","['positive', 'positive', 'positive']",product,"['Gıdaların', 'çok', 'uzun', 'süre', 'taze', 'kalabilmesi', 'mükemmel', 'Ayrıca', 'iç', 'düzeni', 'çok', 'kullanışlı', 'Koku', 'yapmaması', 'diğer', 'pozitif', 'nokta']","['B', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O']",product
Yakın gelecekte Norveçte yaşamayı planlayan kardeşine bu video ile çok yardımcı oldun Teşekkür ederim Murat abi Yolun açık olsun tekerine taş değmesin,"['video', 'Yolun', 'taş']","['positive', 'positive', 'negative']",social_media,"['Yakın', 'gelecekte', 'Norveçte', 'yaşamayı', 'planlayan', 'kardeşine', 'bu', 'video', 'ile', 'çok', 'yardımcı', 'oldun', 'Teşekkür', 'ederim', 'Murat', 'abi', 'Yolun', 'açık', 'olsun', 'tekerine', 'taş', 'değmesin']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'S', 'O']",opinion
Motor performansı oldukça güçlü ve hızlanma süresi tatmin edici Ancak güvenlik özellikleri beklentimin altında kaldı kararsız kaldım,"['Motor performansı', 'güvenlik özellikleri']","['positive', 'negative']",other,"['Motor', 'performansı', 'oldukça', 'güçlü', 've', 'hızlanma', 'süresi', 'tatmin', 'edici', 'Ancak', 'güvenlik', 'özellikleri', 'beklentimin', 'altında', 'kaldı', 'kararsız', 'kaldım']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O']",automotive
Uçuş deneyimi rahattı kabin içi hizmet gayet başarılıydı ancak koltuk konforu yetersizdi ve uzun yolculukta rahatsız etti,"['Uçuş deneyimi', 'kabin içi hizmet', 'koltuk konforu']","['positive', 'positive', 'negative']",accommodation,"['Uçuş', 'deneyimi', 'rahattı', 'kabin', 'içi', 'hizmet', 'gayet', 'başarılıydı', 'ancak', 'koltuk', 'konforu', 'yetersizdi', 've', 'uzun', 'yolculukta', 'rahatsız', 'etti']","['B', 'I', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O']",accommodation
Çok şeker bir hikaye Her çocuğun kitaplığında olmalı Resimleri de çok canlı ve tatlı korkutucu değil bazı hikayelerde olduğu gibi,"['hikaye', 'Resimleri']","['positive', 'positive']",product,"['Çok', 'şeker', 'bir', 'hikaye', 'Her', 'çocuğun', 'kitaplığında', 'olmalı', 'Resimleri', 'de', 'çok', 'canlı', 've', 'tatlı', 'korkutucu', 'değil', 'bazı', 'hikayelerde', 'olduğu', 'gibi']","['O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",product
Temizlik ve hijyen açısından 5 yıldız kalitesinde her şey titizlikle yapılmış ve oldukça düzenli Odanın her köşesinde hijyen ön planda tutulmuş bu gerçekten çok değerli Otelin konumu ise mükemmel tam merkezi bir noktada yer alıyor bu sayede her yere kolayca ulaşabiliyorsunuz Hem iş hem de turistik geziler için harika bir lokasyonda bulunuyor Gerçekten başka bir şey istemem konaklama açısından beklentilerimi fazlasıyla karşıladı,"['Temizlik ve hijyen', 'Odanın her köşesinde', 'Otelin konumu', 'lokasyonda', 'konaklama açısından']","['positive', 'positive', 'positive', 'positive', 'positive']",accommodation,"['Temizlik', 've', 'hijyen', 'açısından', '5', 'yıldız', 'kalitesinde', 'her', 'şey', 'titizlikle', 'yapılmış', 've', 'oldukça', 'düzenli', 'Odanın', 'her', 'köşesinde', 'hijyen', 'ön', 'planda', 'tutulmuş', 'bu', 'gerçekten', 'çok', 'değerli', 'Otelin', 'konumu', 'ise', 'mükemmel', 'tam', 'merkezi', 'bir', 'noktada', 'yer', 'alıyor', 'bu', 'sayede', 'her', 'yere', 'kolayca', 'ulaşabiliyorsunuz', 'Hem', 'iş', 'hem', 'de', 'turistik', 'geziler', 'için', 'harika', 'bir', 'lokasyonda', 'bulunuyor', 'Gerçekten', 'başka', 'bir', 'şey', 'istemem', 'konaklama', 'açısından', 'beklentilerimi', 'fazlasıyla', 'karşıladı']","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O']",accommodation
Bazı bölümler oldukça detaylıydı ancak pratik örneklerin daha fazla olması daha iyi oldu,"['Bazı bölümler', 'pratik örneklerin daha fazla olması']","['positive', 'positive']",social_media,"['Bazı', 'bölümler', 'oldukça', 'detaylıydı', 'ancak', 'pratik', 'örneklerin', 'daha', 'fazla', 'olması', 'daha', 'iyi', 'oldu']","['B', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O']",opinion
Bir kullanıcı mizahi bir dille Cem Yılmaz ile Ferda Aminin birleşimi olarak yeni bir Cem Yılmaz karakteri tasvir ederek sosyal medyada kahkahalarla karşılanan yaratıcı ve eğlenceli bir yorumda bulundu,"['Bir kullanıcı', 'Cem Yılmaz karakteri', 'bir yorumda']","['positive', 'positive', 'positive']",entertainment,"['Bir', 'kullanıcı', 'mizahi', 'bir', 'dille', 'Cem', 'Yılmaz', 'ile', 'Ferda', 'Aminin', 'birleşimi', 'olarak', 'yeni', 'bir', 'Cem', 'Yılmaz', 'karakteri', 'tasvir', 'ederek', 'sosyal', 'medyada', 'kahkahalarla', 'karşılanan', 'yaratıcı', 've', 'eğlenceli', 'bir', 'yorumda', 'bulundu']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O']",entertainment
tereyağında balık güzeldi ama tavuk kavurma maalesef lezzetsiz İlgilenen arkadaş iyiydi Vesselam,"['tereyağında balık', 'tavuk kavurma', 'İlgilenen arkadaş']","[ 'positive', 'negative', 'positive']",daily_life,"['tereyağında', 'balık', 'güzeldi', 'ama', 'tavuk', 'kavurma', 'maalesef', 'lezzetsiz', 'İlgilenen', 'arkadaş', 'iyiydi', 'Vesselam']","['B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O']",experience
Kenan Sofuoğlununda dediği gibi çocukların yeteneklerini keşfetmek lazım çoğu arkadaş paraya imkana bağlamış ama Kenan çalışarak yarışarak haketmiş ve çocuğuna böyle imkan sunmuş,"['çocukların yeteneklerini keşfetmek', 'imkana']","['positive', 'positive']",social_media,"['Kenan', 'Sofuoğlununda', 'dediği', 'gibi', 'çocukların', 'yeteneklerini', 'keşfetmek', 'lazım', 'çoğu', 'arkadaş', 'paraya', 'imkana', 'bağlamış', 'ama', 'Kenan', 'çalışarak', 'yarışarak', 'haketmiş', 've', 'çocuğuna', 'böyle', 'imkan', 'sunmuş']","['O', 'O', 'O', 'O', 'B', 'I', 'I', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",opinion
Joan ve annesi çok cana yakındı ve hatta bazı özel isteklere yanıt vermek için zaman ayırmaları memnun etti bizi oldukça,"['Joan ve annesi', 'bazı özel isteklere yanıt vermek için zaman ayırmaları']","['positive', 'positive']",daily_life,"['Joan', 've', 'annesi', 'çok', 'cana', 'yakındı', 've', 'hatta', 'bazı', 'özel', 'isteklere', 'yanıt', 'vermek', 'için', 'zaman', 'ayırmaları', 'memnun', 'etti', 'bizi', 'oldukça']","['B', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O']",experience
Eczane konumu merkezi bir yerde ama otopark alanı yoktu ve bu büyük sorun yarattı,"['Eczane konumu', 'otopark alanı']","['positive', 'negative']",service,"['Eczane', 'konumu', 'merkezi', 'bir', 'yerde', 'ama', 'otopark', 'alanı', 'yoktu', 've', 'bu', 'büyük', 'sorun', 'yarattı']","['B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O']",pharmacy
Parktaki yürüyüş yolları genişti bisikletliler için ayrı şerit olması çok iyi düşünülmüş ama bazı tabelalar eksikti,"['yürüyüş yolları', 'bisikletliler için ayrı şerit olması', 'tabelalar']","['positive', 'positive', 'negative']",social_media,"['Parktaki', 'yürüyüş', 'yolları', 'genişti', 'bisikletliler', 'için', 'ayrı', 'şerit', 'olması', 'çok', 'iyi', 'düşünülmüş', 'ama', 'bazı', 'tabelalar', 'eksikti']","['O', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'S', 'O']",comment
Üründe exynos işlemci olduğu için fazla ısınıyor kaleminin ucu fazla sallanıyor,"['exynos işlemci', 'kaleminin ucu']","['negative', 'negative']",product,"['Üründe', 'exynos', 'işlemci', 'olduğu', 'için', 'fazla', 'ısınıyor', 'kaleminin', 'ucu', 'fazla', 'sallanıyor']","['O', 'B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O']",product
İçine koydukları kısır kokmuştu patatese tereyağ koymaya korkmuşlar Kötü ötesi asla tavsiye etmem,"['kısır', 'tereyağ']","['negative', 'negative']",daily_life,"['İçine', 'koydukları', 'kısır', 'kokmuştu', 'patatese', 'tereyağ', 'koymaya', 'korkmuşlar', 'Kötü', 'ötesi', 'asla', 'tavsiye', 'etmem']","['O', 'O', 'S', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",experience
Fiyat güzel satıcı Amazon diye aldık kesekağıdına koyup göndermişler resmen Ne koruyucu film ne sardıkları paketleme baloncuğu vardı Kutuyu göndermişler resmen,"['Fiyat', 'satıcı Amazon', 'koruyucu film', 'paketleme baloncuğu']","['positive','neutral','negative','negative']  ",product,"['Fiyat', 'güzel', 'satıcı', 'Amazon', 'diye', 'aldık', 'kesekağıdına', 'koyup', 'göndermişler', 'resmen', 'Ne', 'koruyucu', 'film', 'ne', 'sardıkları', 'paketleme', 'baloncuğu', 'vardı', 'Kutuyu', 'göndermişler', 'resmen']","['S', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O']",product
Fiyatına göre çok güzel bir sandalet çok rahat ve ayakta duruşu çok güzel ben çok memnun kaldım alacaklara tavsiye ederim hiç düşünmeden alabilirsiniz,"['çok güzel bir sandalet', 'ayakta duruşu']","['positive', 'positive']",product,"['Fiyatına', 'göre', 'çok', 'güzel', 'bir', 'sandalet', 'çok', 'rahat', 've', 'ayakta', 'duruşu', 'çok', 'güzel', 'ben', 'çok', 'memnun', 'kaldım', 'alacaklara', 'tavsiye', 'ederim', 'hiç', 'düşünmeden', 'alabilirsiniz']","['O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",product
Engin heyecanını anlıyorum usta ama senin videoların kısa film tarzında vlog gibi videolar çekmek güzel fikir hem seni fazla yormaz ama her gün video çekmek daha yorucu olabilir haftada 3 4 video paylaşsan vlog tarzında yeterli bence,"['heyecanını', 'videoların', 'kısa film', 'vlog', 'fikir', 'yorucu']","['positive', 'positive', 'positive', 'positive', 'positive', 'negative']",social_media,"['Engin', 'heyecanını', 'anlıyorum', 'usta', 'ama', 'senin', 'videoların', 'kısa', 'film', 'tarzında', 'vlog', 'gibi', 'videolar', 'çekmek', 'güzel', 'fikir', 'hem', 'seni', 'fazla', 'yormaz', 'ama', 'her', 'gün', 'video', 'çekmek', 'daha', 'yorucu', 'olabilir', 'haftada', '3', '4', 'video', 'paylaşsan', 'vlog', 'tarzında', 'yeterli', 'bence']","['O', 'S', 'O', 'O', 'O', 'O', 'S', 'B', 'I', 'O', 'S', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",opinion
Sosyal etkinlikler ne çok çeşitli ne de tamamen yok yıl içinde birkaç konser ve söyleşi düzenleniyor Spor takımları ise ne çok başarılı ne de başarısız ortalama bir performans sergiliyor,"['Sosyal etkinlikler', 'Spor takımları']","['neutral', 'neutral']",daily_life,"['Sosyal', 'etkinlikler', 'ne', 'çok', 'çeşitli', 'ne', 'de', 'tamamen', 'yok', 'yıl', 'içinde', 'birkaç', 'konser', 've', 'söyleşi', 'düzenleniyor', 'Spor', 'takımları', 'ise', 'ne', 'çok', 'başarılı', 'ne', 'de', 'başarısız', 'ortalama', 'bir', 'performans', 'sergiliyor']","['B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",community_life
Çok güzel bir atmosfer yaratmışsınız Özellikle enstrüman geçişleri çok etkileyici,"['Çok güzel bir atmosfer', 'enstrüman geçişleri']","['positive', 'positive']",social_media,"['Çok', 'güzel', 'bir', 'atmosfer', 'yaratmışsınız', 'Özellikle', 'enstrüman', 'geçişleri', 'çok', 'etkileyici']","['B', 'I', 'I', 'I', 'O', 'O', 'B', 'I', 'O', 'O']",comment
Doğayla iç içe muhteşem bir yer Sahipleri Nazım Bey ve Eşine ilgisi alakası için çok teşekkür ederiz,"['yer', 'Nazım Bey ve Eşine']","['positive', 'positive']",accommodation,"['Doğayla', 'iç', 'içe', 'muhteşem', 'bir', 'yer', 'Sahipleri', 'Nazım', 'Bey', 've', 'Eşine', 'ilgisi', 'alakası', 'için', 'çok', 'teşekkür', 'ederiz']","['O', 'O', 'O', 'O', 'O', 'S', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O']",accommodation
Mıhlama sahanda yumurta patates kızartması ve soğuk içeceklerin hepsi çok lezzetliydi Hizmet çok iyiydi Çalışanlar da çok ilgiliydi,"['Mıhlama', 'sahanda yumurta', 'yumurta', 'patates kızartması', 'soğuk içecekler', 'Hizmet']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive']",accommodation,"['Mıhlama', 'sahanda', 'yumurta', 'patates', 'kızartması', 've', 'soğuk', 'içeceklerin', 'hepsi', 'çok', 'lezzetliydi', 'Hizmet', 'çok', 'iyiydi', 'Çalışanlar', 'da', 'çok', 'ilgiliydi']","['S', 'B', 'S', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'O']",accommodation
Üç aydır kullanıyorum eğitim platformunun içerik kalitesi beklentilerimin üstünde eğitmenlerin açıklamaları net ve anlaşılır Her seviyeye uygun dersler bulunması da büyük avantaj,"['içerik kalitesi', 'eğitmenlerin açıklamaları', 'dersler']","['positive','positive','positive']",education,"['Üç', 'aydır', 'kullanıyorum', 'eğitim', 'platformunun', 'içerik', 'kalitesi', 'beklentilerimin', 'üstünde', 'eğitmenlerin', 'açıklamaları', 'net', 've', 'anlaşılır', 'Her', 'seviyeye', 'uygun', 'dersler', 'bulunması', 'da', 'büyük', 'avantaj']","['O', 'O', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'O', 'O']",education
Sırf şu diziler yüzünde 10 tane televizyon kanalını sanki birinden kaçıyormuş gibi hızlı hızlı geçmek zorunda kalıyorum Utanç verici,"['diziler', 'televizyon kanalını', 'Utanç']","['negative', 'negative', 'negative']",social_media,"['Sırf', 'şu', 'diziler', 'yüzünde', '10', 'tane', 'televizyon', 'kanalını', 'sanki', 'birinden', 'kaçıyormuş', 'gibi', 'hızlı', 'hızlı', 'geçmek', 'zorunda', 'kalıyorum', 'Utanç', 'verici']","['O', 'O', 'S', 'O', 'O', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'S', 'O']",opinion
